Rank,Musica,Artista,Lyrics
50,Lies Lies Lies,Morgan Wallen ,"
i don't come down with the sun
i won't hate myself when the mornin' comes
no thoughts of your body runnin' through my head
no bottle of bourbon beside the bed, 'cause


it wasn't no thing to give you up
i never reach for you in another touch
don't ever think about you with him
and girl, tonight i won't call again and again
ain't nothin' but


lies, lies, lies
look into my eyes, eyes, eyes
i'm still a fool for you
nothin' i wouldn't do for you
lies, lies, lies
girl, i'm on a downhill dive
habits and hard heartbreaks are hard to break
so i just tell the same old lies, liеs, lies
yeah, baby, i can try, try, try


to act like i don't givе a damn, but i do
bet you're missin' me bad as i miss you
snowballs to a phone call
soundin' somethin' stupid
baby, 'cause the truth is
the ninety proof is tellin' me


lies, lies, lies
look into my eyes, eyes, eyes
i'm still a fool for you
nothin' i wouldn't do for you
lies, lies, lies
girl, i'm on a downhill dive
habits and hard heartbreaks are hard to break
so i just tell the same old lies, lies, lyin' to myself
why, why, why in the hell
do i keep sayin', ""i can get you back""?
that's about as honest as sayin' that


i don't come down with the sun
i won't hate myself when the mornin' comes
them ain't nothin' but


lies, lies, lies
look into my eyes, eyes, eyes
i'm still a fool for you
nothin' i wouldn't do for you
lies, lies, lies
girl, i'm on a downhill dive
habits and hard heartbreaks are hard to break
so i just tell the same old lies, lies, lies


lies, lies, lies"
51,Type Shit,Future feat. Metro Boomin Travis Scott & Playboi Carti ,"
yeah, yeah, pluto


i don't hang with rats, that's some new type shit
get a nigga whacked on the news type shit
sippin' drank and actavis on some screw type shit
just a sad ho runnin' through the crew type shit
i got a bad bitch at home, voodoo type shit
take down meg thee stallions by the group type shit


that's some thick shit, i just thought you knew type shit
i just tricked off, i don't just usually do this type of shit
pockets racked up, all blue type shit
bunch of rich niggas, hoes get confused type shit
atlanta nigga, i live like ted turner type shit
on camera, knockin' jaws loose typе shit
i canceled her, kick hеr out the stu' type shit
a silent hitter, i just keep it cool with you bitches
a solid nigga, countin' dog food type shit
movin' through the city with your boo type shit
she's ready to suck it up like soup type shit
you goin' against the guys and you gon' lose type shit
pray to god they knock you out your shoes type shit (type shit)


pop it, pop it, right up out the blue type shit
put the double o in a mood
serotonin, that's a cool type mix
oxycontin, mix it with balloons (alright)
east atlanta feelin' like a zoo type mix (open up)
shawty, shawty strippin', takin' shrooms
eatin' all the percs, on some food type shit (open up)
shawty make it work, 9-to-5 type shit (open up)
eatin' all the perkies, on some food type shit (open up)
eatin' all the perkies, on some food type shit (going up)
all the homies crushin' on some fool type— (going up)
floodin' out the spot, it's like a pool type mix (add it up)
all the homies crushin' on some fool type shit (going up)
all the homies crushin' on some fool type— (open up)
eatin' all the perkies, on some food type shit
feelin' so high, i'm on the moon type shit


kick the slow flow, jitsu type shit (open it up, add it up)
red lock in my dreadlocks, i'm on bool type shit (fuck it up, add it up)
cook a nigga up like food type shit (fuck it up, fuck it up)
posted up with my dogs, scooby doo type shit (fuck it up, woo)


she grippin' all on my balls, i gotta move type shit
diamonds, they cover my flaws, i'm actin' brand new type shit
hundred round drum, make it burst, soundin' like a nuke type shit
all of my jeans is saggin', i think i'm over tight shit
put the ho down with the gang, now she think she my manager type shit
shawty thought she was the one, i will forever have a boss bitch
the presi' set on me plain, i'm on some naked type shit
eighty-one thou' for the teeth, i still ain't smiling for this bitch
this ho think she better than me? she on that ig model shit
shawty said i'm a superhero, so how the fuck i'ma hide from shit?
bitch give me dome in the back, she on her bobblehead type shit
all i want is ass and titties, i ain't got no type, shit
sippin' on drank, pluto, hold up
sippin' my drank, metro
sittin' right here with my yayo type shit
might put some diamonds in my gloves, woah, on my mike shit
what the fuck y'all talking about bodies for? y'all just type shit (pluto)


i don't hang with rats, that's some new type shit (new type shit)
get a nigga whacked on the news type shit
sippin' drank and actavis on some screw type shit
just a sad ho runnin' through the crew type shit
i got a bad bitch at home, voodoo type shit
take down meg thee stallions by the group type shit


tags all over my shirt, uh, rockstar type shit (open it up, open it up)
molly all in my dreads, uh, rasta type shit (open it up, open it up)
'bout to take a ho to turks, she a monster type shit (type shit)
she don't speak no english, money talk type shit
she fuck me, ran her mouth 'cause i'm a boss type shit (woo)"
52,Gata Only,FloyyMenor feat. Cris Mj ,"


ey


mami, te siento lejo', dime dónde está'
te quiero chingar, te voy a raptar
déjate llevar, apaga el celular
que si está' conmigo no te va a pasar na'
solo déjate llevar
nena, atenta a la jugá'
que yo quiero contigo y tú quiere' conmigo (brr)
dime si se da


ba-ba-baby, dale, ponte pa' mí, follow me
tú ere' like for me y yo 'toy pa' ti
gata, tú está' only, mándame tu ubi
mueve los cachete' al ritmo del tiktok
conmigo esa gata se еscapó y en su casa nadie lo notó
e' que conmigo la baby еsta noche la pasó cabrón
gata, pon el celu en modo avión
tú mi loca y yo tu locotrón
tú te pone' pa' mí y yo por ti me tiro toa' las misione'


mami, te siento lejo', dime dónde está' (ah-ah)
te quiero chingar, te voy a raptar
déjate llevar y apaga el celular
que si está' conmigo no te va a pasar na'
solo déjate llevar
'tate atenta a la jugá'
si yo quiero contigo y tú quiere' conmigo (mj)
(dime si se da)


ba-ba-baby, dale, ponte pa' mí, follow me
tú ere' like for me, yo tu brad pitt
gata, tú está' only, mándame tu ubi
muévelo, cabecea al ritmo del tiktok
conmigo esa gata se escapó
el que la rompe soy yo
me la robo de menor


otra noche dándote (eh), dándote (eh)
tocándote (eh), calentándote
encima viniéndote (okey)
al oído gimiéndome (ja)
y yo la sigo enamorando, regalando, to' el día comprando
lo que uste', mamita, quiere
ahora nos 'tamo alejando, no te estoy viendo, los día' volando
estar sola tú prefiere'
ven y dame un chance pa' guayarte
allá abajo mojarte toa' las parte'
otra noche dándote, dándote
tocándote, calentándote


baby, dale, ponte pa' mí, follow me (brr)
tú ere' like for me, yo tu brad pitt
gata, tú está' only, mándame tu ubi
muévelo, cabecea al ritmo del tiktok
conmigo esa gata se escapó
el que la rompe soy yo
me la robo de menor


ey
(ah-ah-ah-ah-ah-ah-ah)
ya tú sabe' quiéne', ya tú sabe' quiénes somo' (ey)
(ah-ah-ah-ah-ah-ah-ah-ah-ah) floyymenor
cris mj ""el más que suena""
(ah-ah-ah, ah-ah-ah)
floyymenor
'tamo matando, brr, ja
(mami, te siento lejo', dime dónde estás)
(te quiero chingar, te voy a raptar)
(déjate llevar, apaga el celular)
(que si estás conmigo no te va a pasar na')
tú y yo en la serena
por la avenida del mar
(si yo quiero contigo y tú quiere' conmigo)
(dime si se da)
tra, tra, tra, tra, tra, tra, tra, trajaja
muah
pa' que sepa'"
53,Hot To Go!,Chappell Roan ,"
five, six
five, six, seven, eight


i could be the one, or your new addiction
it's all in my head, but i want non-fiction
i don't want the world, but i'll take this city
who can blame a girl? call me hot, not pretty


baby, do you like this beat?
i made it so you'd dance with me
it's like a hundred ninety-nine degrees
when you're doin' it with me, doin' it with me


h-o-t-t-o-g-o
snap and clap and touch your toes
raise your hands, now body roll
dance it out, you're hot to go
h-o-t-t-o-g-o
snap and clap and touch your toes
raise your hands, now body roll
h-o-t-t-o-g-o


h-o-t-t-o-g-o
you can take me hot to go
h-o-t-t-o-g-o
you can take me hot to go


well, i woke up alone starin' at my cеilin'
i try not to care, but it hurts my feelings
you don't have to stare, comе here, get with it
no one's touched me there in a damn hot minute


and baby, don't you like this beat?
i made it so you'd sleep with me
it's like a hundred ninety-nine degrees
when you're doin' it with me, doin' it with me


h-o-t-t-o-g-o
snap and clap and touch your toes
raise your hands, now body roll
dance it out, you're hot to go
h-o-t-t-o-g-o
snap and clap and touch your toes
raise your hands, now body roll
h-o-t-t-o-g-o


h-o-t-t-o-g-o
you can take me hot to go
h-o-t-t-o-g-o
you can take me hot to go


what's it take to get your number?
what's it take to bring you home?
hurry up, it's time for supper
order up, i'm hot to go
what's it take to get your number?
hurry up, it's gettin' cold
hurry up, it's time for supper
order up, i'm hot to go


h-o-t-t-o-g-o
you can take me hot to go (oh, yeah)
h-o-t-t-o-g-o
you can take me hot to go (hot to go)
h-o-t-t-o-g-o
you can take me hot to go (oh, yeah)
h-o-t-t-o-g-o
you can take me hot to go


whew, it's hot in here
is anyone else hot?
woo, you comin' home with me?
okay, it's hot
i'll call the cab"
54,All I Want For Christmas Is You,Mariah Carey ,"
i don't want a lot for christmas
there is just one thing i need
i don't care about the presents
underneath the christmas tree
i just want you for my own
more than you could ever know
make my wish come true
all i want for christmas is you, yeah


i don't want a lot for christmas
there is just one thing i need (and i)
don't care about the presents
underneath the christmas tree
i don't need to hang my stocking
there upon the fireplace (ah)
santa claus won't make me happy
with a toy on christmas day


i just want you for my own (ooh)
more than you could ever know (ooh)
make my wish come true
all i want for christmas is you
you, baby


oh, i won't ask for much this christmas
i won't even wish for snow (and i)
i'm just gonna keep on waiting
underneath the mistletoe
i won't make a list and send it
to the north pole for saint nick (ah)
i won't even stay awake to
hear those magic reindeer click


'cause i just want you here tonight (ooh)
holding on to me so tight (ooh)
what more can i do?
oh baby, all i want for christmas is you
you, baby


oh, all the lights are shining
so brightly everywhere (so brightly, baby)
and the sound of children's
laughter fills the air (oh, oh yeah)
and everyone is singing (oh yeah)
i hear those sleigh bells ringing (oh)
santa, won't you bring me the one i really need? (yeah, oh, oh)
won't you please bring my baby to me?


oh, i don't want a lot for christmas
this is all i'm asking for (ah)
i just wanna see my baby
standing right outside my door


oh, i just want you for my own (ooh)
more than you could ever know (ooh)
make my wish come true
oh baby, all i want for christmas is you


you, baby
all i want for christmas is you, baby (you)
all i want for christmas is you, baby (ah, oh, ah, oh)
all i want for christmas is you, baby (you)
all i want for christmas is you, baby (all i really want, baby, ooh)
all i want for christmas is you, baby (all i want, all i really want is you)"
55,Get It Sexyy,Sexyy Red ,"
(tay keith, fuck these niggas up)
baow, baow, baow, baow
grraow, baow, baow, baow
yeah, yeah, yeah, yeah, yeah, yeah
it's sexyy


slim thick, caramel skin
5'5"", this bitch a ten (yeah)
hair done, bills paid
catch me slidin' in a benz (vyoom)
i ain't lookin' for no man
ain't recruitin' no new friends
louis bag filled with bands
go on, sexyy, do your dance
get it, sexyy (uh, uh), get it, sexyy (uh, uh)
get it, sexyy (uh, uh), get it, sexyy (uh, uh)


boy, you know this ass super fat (i ain't lyin', though)
fuck me good, i'm throwin' that shit back (i'm his favorite ho)
he wanna kiss me all over my tats (uh, uh, uh, uh, i might let him, though)
i'm so fuckin' sexy, they attack (all these niggas on go)
feeling myself 'cause i know that i'm that (yeah, bitch, i’m cold)
ridin' through st. louis in a scat (and i can't go slow)
bust down middle part, and i got it black (i'm a big fine ho)
walkin' through the club lookin' like a snack (but you knew that though)


get it, sexyy (uh, uh), get it, sexyy (uh, uh)
get it, sexyy (uh, uh), get it, sexyy (uh, uh)
(uh, uh, uh, uh)
(uh, uh, uh, uh) whoop, whoop, whoop, whoop, whoop


big sexyy blood, love the hoes
bounce that ass, touch them toes (uh-huh)
booty shorts, coochie swoll
thong all up my booty hole
niggas cheaters, they on go
trust a nigga, that's a no
he can eat my coochie, though
awesome jawsome got me throwed
little miss sexyy walking down the street (beep beep)
i don't know what to do 'cause the niggas after me (yeah, yeah)
i'm so fuckin' sexy, yeah, my skin is glistening (woo, woo, woo-woo)
diamonds hittin' hard, niggas wanna join my team (woo, woo, bling)


get it, sexyy (uh, uh), get it, sexyy (uh, uh)
get it, sexyy (uh, uh), get it, sexyy (uh, uh)


slim thick, caramel skin
5'5"", this bitch a ten (yeah)
hair done, bills paid
catch me slidin' in a benz (vyoom)
i ain't lookin' for no man
ain't recruitin' no new friends
louis bag filled with bands
go on, sexyy, do your dance
(uh, uh, uh, uh) get it, sexyy
(uh, uh) get it, sexyy (uh, uh)
(uh, uh, uh, uh) get it, sexyy
(uh, uh) get it, sexyy (uh, uh)"
56,Made For Me,Muni Long ,"
mm
oh


the smell of your perfume
i thought i was immune
lookin' around this room
can't help but see the traces of you
this moment is surreal
i can't put into words how i feel


twin
where have you been?


nobody knows me like you do (nobody)
nobody gon' love me quite like you (nobody, yeah)
can't even deny it, every time i try it
one look in my eyes, you know i'm lyin', lyin'
body to body, skin to skin (i'm never gon' love like this)
i'm never gon' love like this again (again, yeah)
you were made for me (just for me)
said you were made for me (only for me, yeah, yeah)
think you were made for me
oh yeah, you were made for me


it ain't every day
that i get in my feelings this way
i knew it was rare
'cause before you, i never did care
don't know what i would do
if i had to go on without you


twin, mm
mm, where have you been?


nobody knows me like you do (nobody)
nobody gon' love me quite like you (nobody, yeah)
can't even deny it, every time i try it
one look in my eyes, you know i'm lyin', lyin'
body to body, skin to skin (i'm never gon' love like this)
i'm never gon' love like this again (again, yeah)
you were made for me (just for me)
said you were made for me (only for me, yeah, yeah)
think you were made for me
oh yeah, you were made for me


made for me
made for me
made for me
just for me, mm"
57,Vampire,Olivia Rodrigo ,"
hate to give the satisfaction asking how you're doing now
how's the castle built off people you pretend to care about?
just what you wanted
look at you, cool guy, you got it
i see the parties and the diamonds sometimes when i close my eyes
six months of torture you sold as some forbidden paradise
i loved you truly
you gotta laugh at the stupidity


'cause i've made some real big mistakes
but you make the worst one look fine
i should've known it was strange
you only come out at night
i used to think i was smart
but you made me look so naive
the way you sold me for parts
as you sunk your teeth into me, oh
bloodsucker, fame fucker
bleedin' me dry like a goddamn vampire

and every girl i ever talked to told me you were bad, bad news
you called them crazy, god, i hate the way i called 'em crazy too
you're so convincing
how do you lie without flinching? (how do you lie? how do you lie? how do you lie?)
oh, what a mesmerizing, paralyzing, fucked up little thrill
can't figure out just how you do it and god knows i never will
went for me and not her
'cause girls your age know better


i've made some real big mistakes
but you make the worst one look fine
i should've known it was strange
you only come out at night
i used to think i was smart
but you made me look so naive
the way you sold me for parts
as you sunk your teeth into me, oh
bloodsucker, fame fucker
bleedin' me dry like a goddamn vampire

(ah)
you said it was true love, but wouldn't that be hard?
you can't love anyone 'cause that would mean you had a heart
i tried to help you out, now i know that i can't
'cause how you think's the kind of thing i'll never understand


i've made some real big mistakes
but you make the worst one look fine
i should've known it was strange
you only come out at night
i used to think i was smart
but you made me look so naive
the way you sold me for parts
as you sunk your teeth into me, oh
bloodsucker, fame fucker
bleedin' me dry like a goddamn vampire"
58,Whatever She Wants,Bryson Tiller ,"
nah, we just gettin' started
it's slum tiller, volume 2, nigga
my boy tylian snapped on this shit
we got this motherfucker goin' crazy and we don't even know-
can't see yo' at, peace, nigga, you know what time it is
uh


i'ma take her bougie ass to rodeo and then let her pick up whatever she want
cc, gucci, hit bottega, whatever she want
she piss me off, somehow she still get whatever she want
talking 'bout her nails, i'm finna nail her ass at home
hit it in the shower, made her tell me where she want (huh)
like i'm singin' mase, i made her tell me what she want (huh, huh)
(huh-huh, huh-huh-huh, wow)


she on a power trip again
i know pussy power got me buyin' shit again
friends ain't jackin' me, you must be lyin' to your friends
they know i'm a beast, i wake the giants up again (huh-huh, huh-huh-huh)
shinin' once again
ran it up, i told lil' mama, ""slide in my dms"" (huh, uh)
now i'm right back in, oh
locked in
shawty got that dress on so the block is hot again
thick so when i hit it sound like flocka adlibs (baow-baow, baow-baow-baow)
got her ass again
then she got to trippin' over nothin' yet again
got a nigga feelin' like a sucker yet again
close off my emotion then i rush to let her in
hurry up and let her in (huh)


i'ma take her bougie ass to rodeo and then let her pick up whatever she want
cc, gucci, hit bottega, whatever she want
she piss me off, somehow she still get whatever she want
talking 'bout her nails, i'm finna nail her ass at home
hit it in the shower, made her tell me where she want (want)
like i'm singin' mase, i made her tell me what she want (huh-huh, huh-huh, huh-huh)


(oh-oh, oh-oh, oh-oh, oh, i)
i'm already knowin' (i)
she spoiled as a motherfucker
whatever


huh
spoil her ass again
take her to the dealership, the porsche got a twin, huh
patek got a beam, huh, hold it to the lens
put the ice i bought you on and show it to your friends, huh
shop until we lean, huh
bae, let's make it even (ayy)
she don't hold a damn thing, she spicy like tajin (hot, hot, hot, hot, hot)
ha, yeah, she spicy like tajin, ayy, look, bae, don't make no sense


i'm finna take her bougie ass to rodeo and then let her pick up whatever she want
cc, gucci, hit bottega, whatever she want
she piss me off, somehow she still get whatever she want (uh-huh)
talking 'bout her nails, i'm finna nail her ass at home
hit it in the shower, made her tell me where she want (huh)
like i'm singin' mase, i made her tell me what she want (huh-huh, huh-huh, huh-huh)"
59,Rockin' Around The Christmas Tree,Brenda Lee ,"
rockin' around the christmas tree
at the christmas party hop
mistletoe hung where you can see
every couple tries to stop
rockin' around the christmas tree
let the christmas spirit ring
later, we'll have some pumpkin pie
and we'll do some caroling


you will get a sentimental feeling
when you hear
voices singing, ""let's be jolly
deck the halls with boughs of holly""


rockin' around the christmas tree
have a happy holiday
everyone's dancin' merrily
in the new old-fashioned way




you will get a sentimental feeling
when you hear
voices singing, ""let's be jolly
deck the halls with boughs of holly""


rockin' around the christmas tree
have a happy holiday
everyone's dancin' merrily
in the new old-fashioned way"
60,Pretty Little Poison,Warren Zeiders ,"
every night, 'round about this time
it's like she knows i'm lonely
rolls up when the wine is gone
like a record on repeat
leanin' on old memories
and talkin' 'bout what used to be
she'll probably be the death of me
but damn if it ain't sweet


she's my pretty little poison
my heartache in the night
with a kiss on her lips just like cyanide
yeah, she came with a warnin'
but i didn't mind
i'll go out on that high every time
she's my pretty little poison
my pretty littlе poison


shadows dancin' down the hall
whispers that she wants mе
try my best not to fall
when she falls into me
we all need some kind of fix
for me, she's the one i'll pick
nothin' else will do the trick
she's all i need


she's my pretty little poison
my heartache in the night
with a kiss on her lips just like cyanide
yeah, she came with a warnin'
but i didn't mind
i'll go out on that high every time
she's my pretty little poison
my pretty little poison


for some, i guess it's alcohol
i don't want none at all
i just want you
no, i just want you


my pretty little poison
my heartache in the night
with a kiss on her lips just like cyanide
yeah, she came with a warnin'
but i didn't mind
i'll go out on that high every time
she's my pretty little poison
my pretty little poison
she's my pretty little poison"
61,First Person Shooter,Drake feat. J. Cole ,"


(pew, pew-pew)
first-person shooter mode, we turnin' your song to a funeral
to them niggas that say they wan' off us, you better be talkin' 'bout workin' in cubicles
yeah, them boys had it locked, but i knew the code
lot of niggas debatin' my número
not the three, not the two, i'm the u-n-o
yeah
numero u-n-o
me and drizzy, this shit like the super bowl
man, this shit damn near big as the


big as the what? (ah)
big as the what? (mm)
big as the what? (ayy)
big as the super bowl


but the difference is it's just two guys playin' shit that they did in the studio
niggas usually send they verses back to me and they be terrible, just like a two-year-old
i love a dinner with some fine women when they start debatin' about who the goat
i'm like go'n 'head, say it then, who the goat?
who the goat? who the goat? who the goat?
who you bitches really rootin' for?
like a kid that act bad from january to november, nigga, it's just you and cole


big as the what? (ah)
big as the what? (mm)
big as the what? (ayy)
big as the super bowl

niggas so thirsty to put me in beef
dissectin' my words and start lookin' too deep
i look at the tweets and start suckin' my teeth
i'm lettin' it rock 'cause i love the mystique
i still wanna get me a song with yb
can't trust everything that you saw on ig
just know if i diss you, i'd make sure you know that i hit you like i'm on your caller id
i'm namin' the album the fall off, it's pretty ironic 'cause it ain't no fall off for me
still in this bitch gettin' bigger, they waitin' on the kid to come drop like a father to be
love when they argue the hardest mc
is it k-dot? is it aubrey? or me?
we the big three like we started a league, but right now, i feel like muhammad ali
huh, yeah, yeah, huh-huh, yeah, muhammad ali
the one that they call when they shit ain't connectin' no more, feel like i got a job in it
rhymin' with me is the biggest mistake
the spider-man meme is me lookin' at drake
it's like we recruited your homies to be demon deacons, we got 'em attending your wake
hate how the game got away from the bars, man, this shit like a prison escape
everybody steppers, well, fuck it, then everybody breakfast and i'm 'bout to clear up my plate (huh, huh, huh)
when i show up, it's motion picture blockbuster
the goat with the golden pen, the top toucher
the spot rusher, sprayed his whole shit up, the crop duster
not russia, but apply pressure
to your cranium, cole's automatic when aimin' 'em
with the boy in the status, a stadium
nigga




ayy, i'm 'bout to, i'm 'bout to
i'm 'bout to, yeah
yeah


i'm 'bout to click out on this shit
i'm 'bout to click, woah
i'm 'bout to click out on this shit
i'm 'bout to click, woah
i'm down to click out on you hoes and make a crime scene
i click the trigger on the stick like a high beam
man, i was bentley wheel whippin' when i was nineteen
she call my number, leave her hangin', she got dry-cleaned
she got a android, her messages is lime green
i search one name, and end up seein' twenty tings
nadine, christine, justine, kathleen, charlene, pauline, claudine
man, i pack 'em in this phone like some sardines
and they send me naked pictures, it's the small things
you niggas still takin' pictures on a gulfstream
my youngins richer than you rappers and they all stream
i really hate that you been sellin' them some false dreams
man, if your pub was up for sale, i buy the whole thing
will they ever give me flowers? well, of course not
they don't wanna have that talk, 'cause it's a sore spot
they know the boy, the one they gotta boycott
i told jimmy jam i use a grammy as a door stop
girl gave me some head because i need it
and if i fuck with you, then after, i might eat it, what?
niggas talkin' 'bout when this gon' be repeated
what the fuck, bro? i'm one away from michael
nigga, beat it, nigga, beat it, what?


beat it, what? beat it, what? beat it, what? beat it, what?
beat it, what? beat it, what? beat it, what? beat it, what?
beat it, what? beat it, what? beat it, ayy, beat it, what?
don't even pay me back on none them favors, i don't need it"
62,Die With A Smile,Lady Gaga feat. Bruno Mars ,"
(ooh, ooh)


i, i just woke up from a dream
where you and i had to say goodbye
and i don't know what it all means
but since i survived, i realized


wherever you go, that's where i'll follow
nobody's promised tomorrow
so i'ma love you every night like it's the last night
like it's the last night


if the world was ending
i'd wanna be next to you
if the party was over
and our time on earth was through
i'd wanna hold you just for a while
and die with a smile
if the world was ending
i'd wanna be next to you


(ooh, ooh)


ooh, lost, lost in the words that we scream
i don't even wanna do this anymore
'cause you already know what you mean to me
and our love's the only war worth fighting for


wherever you go, that's where i'll follow
nobody's promised tomorrow
so i'ma love you every night like it's the last night
like it's the last night


if the world was ending
i'd wanna be next to you
if the party was over
and our time on earth was through
i'd wanna hold you just for a while
and die with a smile
if the world was ending
i'd wanna be next to you


right next to you
next to you
right next to you
oh-oh


if the world was ending
i'd wanna be next to you
if the party was over
and our time on earth was through
i'd wanna hold you just for a while
and die with a smile
if the world was ending
i'd wanna be next to you
if the world was ending
i'd wanna be next to you


(ooh, ooh)
i'd wanna be next to you"
63,I Like The Way You Kiss Me,Artemas ,"
i like the way you kiss me
i like the way you, uh


i like the way you kiss me, i can tell you miss me
i can tell it hits, hits, hits, hits
not tryna be romantic, i'll hit it from the back
just so you don't get attached ('tached, 'tached, 'tached)
i like the way you kiss me, i can tell you miss me
i can tell it hits, hits, hits, hits
not tryna be romantic, i'll hit it from the back
just so you don't get attached ('tached, 'tached, 'tached)


you bite my lip just for the taste
you're on your knees, i'm on the case
you take the heat and with such grace
you say we'rе done, but here you stay
said you'rе scared i'll let you down (i'll let you down)
stick around and you'll find out (and you'll find out)
but don't you wanna make me proud? (don't you wanna make me proud?)
'cause i'm so proud, baby, i'm so proud of you


i like the way you kiss me, i can tell you miss me
i can tell it hits, hits, hits, hits
not tryna be romantic, i'll hit it from the back
just so you don't get attached ('tached, 'tached, 'tached)
i like the way you kiss me, i can tell you miss me
i can tell it hits, hits, hits, hits
not tryna be romantic, i'll hit it from the back
just so you don't get attached ('tached, 'tached, 'tached)


do i stress you out? can i help you out?
does it turn you on when i turn you 'round?
can we make a scene? (scene) can you make it loud? (loud)
'cause i'm so proud, baby, i'm so proud of you


(so proud of you)
(mm, so proud of you)


i like the way you kiss me, i can tell you miss me
i can tell it hits, hits, hits, hits
not tryna be romantic, i'll hit it from the back
just so you don't get attached ('tached, 'tached, 'tached)
i like the way you kiss me, i can tell you miss me
i can tell it hits, hits, hits, hits
not tryna be romantic, i'll hit it from the back
just so you don't get attached ('tached, 'tached, 'tached)


i like the way you kiss me
i like the way you, uh"
64,Need A Favor,Jelly Roll ,"
i only talk to god when i need a favor
and i only pray when i ain't got a prayer
so who the hell am i, who the hell am i to expect a savior, oh
if i only talk to god when i need a favor?
but, god, i need a favor


i know amazin' grace, but i ain't been livin' them words
swear i spend most sundays
drunk off my ass than i have at church
hard cover king james
only been savin' dust on the nightstand
and i don't know what to say
by the time i fold my hands


i only talk to god when i need a favor
and i only pray when i ain't got a prayer
so who the hell am i, who the hell am i to expect a savior, oh
if i only talk to god when i need a favor?
but, god, i need a favor


amen, amen


yeah, i owe you more than one
and beggars can't be choosers
but i'll pay for all i've done
just pleasе don't let me lose hеr


i only talk to god when i need a favor
and i only pray when i ain't got a prayer
so who the hell am i, who the hell am i to expect a savior, oh
if i only talk to god when i need a favor?
but, god, i need a favor


amen, amen
amen, amen


hangin' in there just barely
throwin' up prayers like hail marys
if you're still there, lord, spare me
oh, my god, oh, my god, hail mary
hangin' in there just barely
throwin' up prayers like hail marys
if you're still there, lord, spare me
oh, my god, oh, my god, hail mary


i only talk to god when i need a favor
and i only pray when i ain't got a prayer
so tell me, who the hell am i to expect a savior
when i only talk to god if i need a favor?
and, god, i need a favor


amen
god, i need a favor
woah
amen"
65,Save Me,Jelly Roll feat. Lainey Wilson ,"
one, two, three


somebody save me, me from myself
i've spent so long livin' in hell
they say my lifestyle is bad for my health
it's the only thing that seems to help


all of this drinkin' and smokin' is hopeless but feel like it's all that i need
somethin' inside of me's broken, i hold on to anything that sets me free


i'm a lost cause
baby, don't waste your time on me
i'm so damaged beyond repair
life has shattered my hopes and my dreams
i'm a lost cause
baby, don't waste your time on me
i'm so damaged beyond repair
life has shattered my hopes and my dreams


what if the night sky was missin' the moon?
there were no shootin' stars to use wishin' on you
and all of my sorrows, i'd just wash them down
it's the only peace i've ever found


all of this drinkin' and smokin' is hopeless but feel like it's all that i need
somethin' inside of me's broken, i hold on to anything that sets me free


i'm a lost cause
baby, don't waste your time on me
i'm so damaged beyond repair
life has shattered my hopes and my dreams
i'm a lost cause
baby, don't waste your time on me
i'm so damaged beyond repair
life has shattered my hopes and my dreams"
